licenses 20240728-1
lilv 0.24.24-3
linux 6.12.10.arch1-1
linux-api-headers 6.10-1
linux-firmware 20250109.7673dffd-1
linux-firmware-whence 20250109.7673dffd-1
lirc 1:0.10.2-5
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
localsearch 3.8.2-1
loupe 47.4-1
lua 5.4.7-1
lua51-lpeg 1.1.0-3
luajit 2.1.1731601260-1
luarocks 3.11.1-2
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
maim 5.8.0-2
make 4.4.1-2
malcontent 0.13.0-1
man-db 2.13.0-1
md4c 0.5.2-1
mdadm 4.4-1
mesa 1:24.3.3-2
mjpegtools 2.2.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mod_dnssd 0.6-9
mongo-c-driver 1.29.2-1
mongosh-bin 2.3.6-1
mongosh-bin-debug 2.3.6-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.10-1
msgpack-c 6.1.0-2
msgraph 0.2.3-2
mtdev 1.1.7-1
mutter 47.4-1
nautilus 47.1-2
ncurses 6.5-3
neofetch 7.1.0-2
neon 0.34.0-1
neovim 0.10.3-1
net-snmp 5.9.4-6
nettle 3.10.1-1
networkmanager 1.50.1-2
node-gyp 11.0.0-1
nodejs 23.4.0-1
nodejs-nopt 7.2.1-1
noto-fonts-emoji 1:2.047-1
npm 11.0.0-1
npth 1.8-1
nspr 4.36-1
nss 3.107-1
ocl-icd 2.3.2-2
openal 1.24.2-1
opencore-amr 0.1.6-2
openexr 3.3.2-1
openh264 2.5.0-1
openjpeg2 2.5.3-1
openssh 9.9p1-2
openssl 3.4.0-1
openvpn 2.6.13-1
opus 1.5.2-1
orc 0.4.40-1
orca 47.3-1
osinfo-db 20240701-1
ostree 2024.10-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-mirrorlist 20250101-1
pam 1.7.0-1
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.1-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.0-1
perl-error 0.17029-7
perl-mailtools 2.22-1
perl-timedate 2.33-7
picom 12.5-1
pinentry 1.3.1-5
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-audio 1:1.2.7-1
pipewire-jack 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pixman 0.44.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.3.0-1
polkit 126-2
polybar 3.7.2-2
poppler 25.01.0-1
poppler-data 0.4.12-2
poppler-glib 25.01.0-1
popt 1.19-2
portaudio 1:19.7.0-3
